slug_category,slug_id
dien-thoai,iphone-16-pro-max-256gb
dien-thoai,iphone-16-pro-max-512gb
dien-thoai,iphone-16-pro-128gb
dien-thoai,iphone-16-pro-256gb
dien-thoai,iphone-16-128gb
dien-thoai,iphone-16-256gb
dien-thoai,iphone-16-plus-128gb
dien-thoai,iphone-16-plus-256gb
dien-thoai,samsung-galaxy-a55-5g
dien-thoai,samsung-galaxy-a55-5g-128gb-bhdt
dien-thoai,xiaomi-redmi-12c-64gb
dien-thoai,iphone-15-128gb
dien-thoai,iphone-15-plus-128gb
dien-thoai,iphone-15-pro-max-256gb
dien-thoai,iphone-11-128gb-chinh-hang-vna
dien-thoai,oppo-a17k
dien-thoai,iphone-13-256gb
dien-thoai,iphone-13-128gb
dien-thoai,iphone-14-128gb
dien-thoai,iphone-14-plus-128gb
may-tinh-bang,ipad-mini-2024-128gb-wifi
may-tinh-bang,ipad-mini-7-2024-256gb-wifi
may-tinh-bang,ipad-mini-7-2024-128gb-wifi-5g
may-tinh-bang,ipad-gen-9-64gb-wifi
may-tinh-bang,xiaomi-redmi-pad-pro-128gb
may-tinh-bang,ipad-gen-10-64gb-wifi
may-tinh-bang,ipad-air-6-11-inch-128gb
may-tinh-bang,ipad-air-6-13-inch-128gb
may-tinh-bang,ipad-pro-m4-11-inch-256gb-wifi
may-tinh-bang,ipad-mini-6-64gb-wifi
may-tinh-bang,ipad-pro-m2-11-inch-1tb-wifi
may-tinh-bang,ipad-gen-9-256gb-wifi-4g
may-tinh-bang,ipad-gen-9-64gb-wifi-4g
may-tinh-bang,ipad-gen-9-256gb-wifi
may-tinh-bang,ipad-mini-6-64gb-wifi-5g
may-tinh-bang,ipad-mini-6-256gb-wifi-5g
may-tinh-bang,ipad-air-5-64gb-5g
may-tinh-bang,ipad-air-5-256gb-wifi-5g
may-tinh-bang,ipad-gen-10-64gb-5g
may-tinh-bang,ipad-gen-10-256gb-wifi
apple-macbook-imac,macbook-air-m1-2020
apple-macbook-imac,macbook-air-m2-2022
apple-macbook-imac,macbook-air-m3-8gb-256gb-15-inch-2024
apple-macbook-imac,macbook-pro-2024-14-inch-m4-10core-cpu-10core-gpu-16gb-512gb
apple-macbook-imac,macbook-pro-2024-14-inch-m4-pro-12core-cpu-16core-gpu-24gb-512gb
apple-macbook-imac,macbook-pro-m3-pro-2023
apple-macbook-imac,macbook-air-m3-8gb-512gb-15-inch-2024
apple-macbook-imac,mac-mini-m4-10core-cpu-10core-gpu-16gb-256gb
apple-macbook-imac,mac-mini-m4-10core-cpu-10core-gpu-16gb-512gb
apple-macbook-imac,apple-mac-mini-m4-10core-cpu-10core-gpu-24gb-512gb
apple-macbook-imac,mac-mini-m4-pro-12core-cpu-16core-gpu-24gb-512gb
apple-macbook-imac,apple-imac-2024-24-m4-8core-cpu-and-8core-gpu-16gb-256gb
apple-macbook-imac,apple-imac-2024-24-m4-10core-cpu-and-10core-gpu-16gb-256gb
apple-macbook-imac,imac-2024-24-inch-m4-10core-cpu-10core-gpu-16gb-512gb
apple-macbook-imac,imac-2024-24-inch-m4-10core-cpu-10core-gpu-24gb-512gb
apple-macbook-imac,imac-24-inch-2023-m2-ultra
apple-macbook-imac,mac-studio-m2-ultra-2023-64gb-1tb
apple-macbook-imac,mac-pro-m2-ultra-2023-64gb-1tb
apple-macbook-imac,macbook-pro-14-inch-m3-2023-1tb
apple-macbook-imac,imac-24-inch-2023-m3-512gb
