id,name,current_price,original_price,discount_rate,review_count,rating_average,battery,bluetooth,brand,camera_primary,camera_secondary,GPU,chip_set,NFC,CPU,display_type,GPS,internet,accessories,model,jack_3.5mm,sim_type,charging_port,weight,camera_video,RAM,ROM,screen_size,wifi,url,source,category,category_id,image_url,thumbnails
273258825,Điện thoại Samsung Galaxy A05s (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,2690000,3950000,32,112,4.7,	5000 mAh,	v5.1,samsung,"	Chính 50 MP &amp; Phụ 2 MP, 2 MP",13 MP,	Adreno 610,	Snapdragon 680 8 nhân,Không,4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,PLS LCD,N/A,Có,"Sách hướng dẫn, Que chọc SIM, Cáp sạc USB Type-C",N/A,	3.5 mm,Nano Sim,	Type-C,194 g,N/A,4GB,128GB,N/A,	 Wi-Fi Direct  /Wi-Fi 802.11 a/b/g/n/ac  / Dual-band (2.4 GHz/5 GHz),https://tiki.vn/product-p273258825.html?spid=273259161,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/99/6e/cd/f43196af3ef325263663b03045211afb.png,https://salt.tikicdn.com/ts/product/16/97/30/d3148cf92608b839a6c573b78b5935c6.jpg,https://salt.tikicdn.com/ts/product/1f/a8/b0/aa35c1eaa4a4a727da1f2e611eacbc84.jpg,https://salt.tikicdn.com/ts/product/ea/47/7c/29976d0b4c2715a2dfc4e7571261ec7e.jpg,https://salt.tikicdn.com/ts/product/6a/c5/3e/8df3232e60e4da8e629b613915771756.jpg,https://salt.tikicdn.com/ts/product/a8/61/9f/067bf7d312aee41a5a8955668ef107e5.jpg,https://salt.tikicdn.com/ts/product/db/f4/3c/0a70b952c7ed9a0d8fdec9593574a255.jpg,https://salt.tikicdn.com/ts/product/3c/ee/64/c460cebef5fc1e90e0420a700461a7e9.jpg,https://salt.tikicdn.com/ts/product/44/a2/f8/768771540cb86d9b1a7be98e9ab8d025.jpg",https://salt.tikicdn.com/ts/product/99/6e/cd/f43196af3ef325263663b03045211afb.png
275618846,Điện thoại Samsung Galaxy A34 5G (8GB/256GB) - Đã kích hoạt bảo hành điện tử  Hàng chính hãng,5890000,6290000,6,28,4.8,5000 mAh,v5.3,samsung,"Chính 48 MP &amp; Phụ 8 MP, 5 MP", 13 MP,Mali-G68 MC4, MediaTek Dimensity 1080 8 nhân,N/A,2.6 GHz,Super AMOLED,N/A,N/A,N/A,N/A, Type-C,Nano SIM, Type-C,199gr,N/A,8GB,256GB,6.6 inch,Dual-band (2.4 GHz/5 GHz),https://tiki.vn/product-p275618846.html?spid=275619759,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/90/23/03/2968264d126956f7183656c29364330f.png,https://salt.tikicdn.com/ts/product/c1/3f/7d/c58f48dcc8a3689ff5d0f8ce2f98e42e.jpg,https://salt.tikicdn.com/ts/product/59/28/40/94e9d207be60407ec87ef2f461615d23.jpg,https://salt.tikicdn.com/ts/product/18/de/7f/b132514c94698a5da4976af14a625613.jpg,https://salt.tikicdn.com/ts/product/d3/84/79/4334b5127b108e24c725f24ba72c50ab.jpg,https://salt.tikicdn.com/ts/product/af/d3/50/cbc31015436ea9d67d679ca9dbce9203.png,https://salt.tikicdn.com/ts/product/8f/b6/8e/713a0b47af98eb66cf31a09ba0329e4b.png,https://salt.tikicdn.com/ts/product/89/82/f1/fd8b8db5ef5bb76536d7222080e80145.png,https://salt.tikicdn.com/ts/product/c3/fe/6b/8c1372601d769404259e14a8d465c7a7.png,https://salt.tikicdn.com/ts/product/94/04/4e/edf6cc747d75baa2aa6263574b24e862.png,https://salt.tikicdn.com/ts/product/cb/23/9e/0fbd8857ecf15afdff9380350b1a4d63.png",https://salt.tikicdn.com/ts/product/90/23/03/2968264d126956f7183656c29364330f.png
273951550,Điện Thoại Samsung Galaxy A15 LTE (8GB/128GB)- Đã Kích Hoạt Bảo Hành Điện tử - Hàng Chính Hãng,3950000,4990000,21,105,5,5000 mAh, v5.3,samsung," Chính 50 MP &amp; Phụ 5 MP, 2 MP",13 MP,Mali-G57,MediaTek Helio G99 8 nhân,Có, 2 GHz, Super AMOLED,BEIDOU;QZSS;GPS;GLONASS;GALILEO,Có,"Sách hướng dẫn, que chọc sim, dây cáp sạc typeC",A15, 3.5 mm,Nano Sim, Type-C,200g,FullHD 1080p@30fps,8GB,128GB,6.5 inch,Wi-Fi Direct;Wi-Fi 802.11 a/b/g/n/ac;Wi-Fi hotspot;Dual-band (2.4 GHz/5 GHz); ,https://tiki.vn/product-p273951550.html?spid=273952410,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/78/0f/b0/aa318acd2b21d5929cdd56aa8b2d385c.png,https://salt.tikicdn.com/ts/product/c0/3b/55/761c7a6bc7d357ed850b57edc9a8cdf9.jpg,https://salt.tikicdn.com/ts/product/36/9c/e6/dbfe1700d87b7832f14d20fba08f96f1.png,https://salt.tikicdn.com/ts/product/f4/7a/6f/443b5196a9cb710323ec6f4c856dfb37.jpg,https://salt.tikicdn.com/ts/product/e1/63/0f/0a5a5f750bd173a18ba82c85d40a4ec7.jpg,https://salt.tikicdn.com/ts/product/ed/f6/04/ecb9f9087053f970eebd808ccaa95632.jpg,https://salt.tikicdn.com/ts/product/f5/33/a8/c330c28803f2a462c75c94ee4c365de4.jpg,https://salt.tikicdn.com/ts/product/bc/da/2e/3d665e5eeea69bf0052240b112fa03be.jpg,https://salt.tikicdn.com/ts/product/a9/4a/1c/61b742d98d577028124573cad8a03cc1.jpg,https://salt.tikicdn.com/ts/product/c7/34/09/e8ecd321b816a23e49a3bde552b11b36.jpg,https://salt.tikicdn.com/ts/product/54/f5/e0/d8c174b2217caf58139d7c5055d9d259.jpg",https://salt.tikicdn.com/ts/product/78/0f/b0/aa318acd2b21d5929cdd56aa8b2d385c.png
275307093,Điện Thoại Samsung Galaxy A25 5G (6GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng,4990000,5990000,17,17,4.8,N/A,N/A,samsung,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Bộ sản phẩm bao gồm: Thân máy, cáp dữ liệu, tài liệu hướng dẫn, dụng cụ lấy sim",N/A,N/A,N/A,N/A,N/A,N/A,6 GB,128 GB,N/A,N/A,https://tiki.vn/product-p275307093.html?spid=275307883,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/63/93/e5/64058c30a87515c05713c8ed8747a436.png,https://salt.tikicdn.com/ts/product/64/6d/67/b60a49517238beee08a88def40b29129.png,https://salt.tikicdn.com/ts/product/df/2f/09/ecb5b2478a2dfdd7bd4f649fa235e528.jpg,https://salt.tikicdn.com/ts/product/7a/09/02/4de1bee8f9f1bf09b1f355b6b0c7eed1.jpg,https://salt.tikicdn.com/ts/product/21/f6/74/3b9c743a64a7d04f4433c1f14746d371.jpg,https://salt.tikicdn.com/ts/product/a7/4c/fb/8c803075d900a914847f3c2a3d52677a.jpg,https://salt.tikicdn.com/ts/product/c2/24/cb/455ed0d75a214d5252bbca65956ba4ca.jpg,https://salt.tikicdn.com/ts/product/a4/e0/0b/ae9edc8e93ccea059baaab309f677e2b.jpg,https://salt.tikicdn.com/ts/product/44/8d/0a/dc7cfa6e5142b469301d1b45a33755ba.jpg",https://salt.tikicdn.com/ts/product/63/93/e5/64058c30a87515c05713c8ed8747a436.png
276250878,Điện Thoại Samsung Galaxy A06 (4GB/128GB) -  Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng,2650000,3490000,24,9,5,5000 mAh,v5.3,samsung,Chính 50 MP &amp; Phụ 2 MP,8 MP,Mali-G52,MediaTek Helio G85,N/A,2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,PLS LCD,N/A,N/A,N/A,A06,3.5 mm,Nano Sim,Type-C,N/A,N/A,4GB,128GB,6.7 inch,Dual-band (2.4 GHz/5 GHz),https://tiki.vn/product-p276250878.html?spid=276251220,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/64/ef/a2/b550998c7e6b354ddc03b134cac81735.png,https://salt.tikicdn.com/ts/product/f8/65/93/8aa7cd46aad9481f07c2f637622863e6.jpg,https://salt.tikicdn.com/ts/product/14/03/26/ac9c83f26045561cc6fa5e05038b85a0.jpg,https://salt.tikicdn.com/ts/product/2e/bc/f1/43a0fdd738c26e4c3d0b0b1cd794e5f9.jpg,https://salt.tikicdn.com/ts/product/49/2b/ec/6bfa31931fbfe5e4f93d7beef0347dd1.jpg,https://salt.tikicdn.com/ts/product/86/a1/27/24dc39c62a92f258ef39babd770292dc.jpg,https://salt.tikicdn.com/ts/product/99/45/94/025aceb641607a4a5e3f8dc56939db77.jpg,https://salt.tikicdn.com/ts/product/af/39/c6/9c8eff4cc9ddc03cf526d433909ffe03.jpg",https://salt.tikicdn.com/ts/product/64/ef/a2/b550998c7e6b354ddc03b134cac81735.png
276411458,"Điện thoại OPPO A79 5G (4GB/128GB) Màn hình 6.7"", Sạc nhanh 33W , Rom tiếng việt - Bản nội địa Nhật - Hàng nhập khẩu",3249000,3999000,19,1,5,N/A,N/A,oppo,N/A,N/A,N/A,MediaTek Dimensity 6020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4GB,128GB,6.7 inch,N/A,https://tiki.vn/product-p276411458.html?spid=276411472,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/73/a1/82/807859f8c190ca6d865f591c3d9a3e4c.jpg,https://salt.tikicdn.com/ts/product/3d/d4/26/9a9af38c88b0b44b56de886b36da1435.jpg,https://salt.tikicdn.com/ts/product/c3/e6/a4/70c450a530c22038b880edf5445e80b5.jpg,https://salt.tikicdn.com/ts/product/72/fb/a4/f43e4367e399a4826dc7245ed7032b9e.jpg,https://salt.tikicdn.com/ts/product/f5/42/bc/a7df7924f94d44eb812f30f0c07f526f.jpg,https://salt.tikicdn.com/ts/product/ef/57/b6/b84426213452aa71e0f6e10f0eb1d34d.jpg",https://salt.tikicdn.com/ts/product/73/a1/82/807859f8c190ca6d865f591c3d9a3e4c.jpg
276410628,"Điện thoại Realme V60 (6GB/128GB) 5G , Chíp Dimensity 6300, Rom tiếng việt - Hàng nhập khẩu",3099000,3999000,23,1,5,N/A,N/A,realme,N/A,N/A,N/A,MediaTek Dimensity 6300 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6GB,128GB,6.67 inch,N/A,https://tiki.vn/product-p276410628.html?spid=276410632,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/23/cc/4d/4e8dc54b550ca5438b8f3b4d5e786f7e.jpg,https://salt.tikicdn.com/ts/product/4a/81/96/07457477dcf009a0f4dd859bb8d53439.png,https://salt.tikicdn.com/ts/product/64/d6/90/023354ac4eed5464ef0a8ba9158d6b83.png,https://salt.tikicdn.com/ts/product/4a/81/96/5c34fba76b815c3ed6138e81ce896cb9.png,https://salt.tikicdn.com/ts/product/ab/9c/d3/277e9e5f5a4eac5300dec7a3af7ad917.png,https://salt.tikicdn.com/ts/product/60/31/4d/fd6d745902289f968e0f06576de964d7.png",https://salt.tikicdn.com/ts/product/23/cc/4d/4e8dc54b550ca5438b8f3b4d5e786f7e.jpg
276536922,"Điện thoại ZTE Libero Flip (6GB/128GB) Snapdragon 7 Gen 1 Màn Oled ,120Hz , Rom quốc tế - Hàng nhập khẩu",4699000,5990000,22,3,5,N/A,N/A,tecno,N/A,N/A,N/A,Snapdragon 7 Gen 1 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6GB,128GB,N/A,N/A,https://tiki.vn/product-p276536922.html?spid=276537324,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/f2/ac/33/dbf2916d72f5c8d8ca231cc012e4f099.jpg,https://salt.tikicdn.com/ts/product/ff/ca/cd/85093246189d2e162c46f62afc2f0f56.jpg,https://salt.tikicdn.com/ts/product/55/b7/70/2de5ee09493655827742286d6774aff6.jpg",https://salt.tikicdn.com/ts/product/f2/ac/33/dbf2916d72f5c8d8ca231cc012e4f099.jpg
276515327,Điện thoại POCO C75 (6GB/128GB) - Hàng Chính Hãng,2790000,3390000,18,5,5,5160 mAh,v5.4,poco,50 MP,13 MP,Mediatek Helio G81 Ultra,Mediatek Helio G81 Ultra,Có,2 GHz,IPS,N/A,N/A,N/A,N/A,N/A,Nano SIM,Type-C,204 g,N/A,6GB,128GB,6.8 inch,N/A,https://tiki.vn/product-p276515327.html?spid=276521610,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/30/f2/3c/586b190217b7c4a1959ef0e8928361f5.png,https://salt.tikicdn.com/ts/product/86/9b/8a/da9bfbbe655b2525c4838a5664c23858.png,https://salt.tikicdn.com/ts/product/df/da/ee/238ff3ed15a2c736802fae07b93faf2a.png,https://salt.tikicdn.com/ts/product/9b/7b/56/0ebaa27693440359496e17d63b562258.png,https://salt.tikicdn.com/ts/product/6c/56/b5/d8845c3453ffd7a98c24670d0cf268e1.png,https://salt.tikicdn.com/ts/product/46/17/ae/9a6a6586d46d28ccffdd36e9975e322f.png",https://salt.tikicdn.com/ts/product/30/f2/3c/586b190217b7c4a1959ef0e8928361f5.png
276375414,Điện thoại realme C65s - Hàng Chính Hãng,3450000,4790000,28,4,5,5000 mAh,v5.0,realme,Chính 50 MP &amp; Cảm biến Flicker,8 MP,N/A,Unisoc Tiger T612,N/A,1.8 GHz,IPS LCD,N/A,N/A,N/A,N/A,3.5 mm,Nano SIM,Type-C,N/A,N/A,6GB/8GB,128GB,6.74 inch,Wi-Fi hotspot; Dual-band (2.4 GHz/5 GHz),https://tiki.vn/product-p276375414.html?spid=276375767,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/79/86/09/53c54192bd43658057f7d05d1d4db2c1.png,https://salt.tikicdn.com/ts/product/18/24/f8/dce0442e368b14e2cea0bf998cefd95b.jpg,https://salt.tikicdn.com/ts/product/eb/d5/b7/0350c2c96a8390cb87c5e099bef73e2f.jpg,https://salt.tikicdn.com/ts/product/29/f0/f0/a570de1f669fd829b33db3908055a869.jpg,https://salt.tikicdn.com/ts/product/b6/2f/be/f6afa5204a3474db72c4306de792d649.jpg,https://salt.tikicdn.com/ts/product/36/04/72/3c7f28d3b72c83ed0db21d375811019f.jpg,https://salt.tikicdn.com/ts/product/5d/d4/4e/b7a7db9e0af316a902e339e5d4dac61e.jpg,https://salt.tikicdn.com/ts/product/19/9b/34/05f9669cc73468c5a56158b1cd26f305.jpg,https://salt.tikicdn.com/ts/product/b5/82/d9/12df22d295c74efef775b210b2ade768.jpg,https://salt.tikicdn.com/ts/product/7d/f1/66/71acc98f37ec3237b20bade320a98e91.jpg,https://salt.tikicdn.com/ts/product/c1/c2/6d/761974e584ed175b00c50de8bb3fb879.jpg",https://salt.tikicdn.com/ts/product/79/86/09/53c54192bd43658057f7d05d1d4db2c1.png
