product_id,name,current_price,original_price,review_count,rating_average,battery,bluetooth,brand,camera_primary,camera_secondary,GPU,chip_set,NFC,CPU,display_type,GPS,internet,accessories,model,jack_3.5mm,sim_type,charging_port,weight,camera_video,RAM,ROM,screen_size,wifi,source,category,category_id,discount_rate,url,image_url,thumbnails
48862,Xiaomi Pad 6 8GB 128GB - Chỉ có tại CellphoneS,7590000.0,9490000.0,14,4.8,8840 mAh,"v5.2, A2DP, LE",xiaomi,"13 MP, f/2.2, PDAF","8 MP, f/2.2, 1/4"", 1.12µm",Adreno 650,Qualcomm Snapdragon 870 5G (7 nm),Không,1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585,IPS LCD,N/A,N/A,"Sách hướng dẫn, Hộp máy, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Xiaomi Mi Pad 6,Không,N/A,USB Type-C,490 g,"4K@30fps, 1080p@30/60fps",N/A,N/A,11 inches,Wi-Fi 802.11 a/b/g/n/ac<br>Wi-Fi Direct<br> Wi-Fi hotspot<br>Dual-band<br>Wi-Fi 6,cellphones.com.vn,4,tablets,20,http://cellphones.com.vn/xiaomi-mi-pad-6.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/mi-pad-6-cps-doc-quyen.png.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/mi-pad-6-cps-doc-quyen.png.jpg
88519,Xiaomi Pad 6 6GB 128GB - Chỉ có tại CellphoneS,7590000.0,9290000.0,0,0,8840 mAh,"v5.2, A2DP, LE",xiaomi,"13 MP, f/2.2, PDAF","8 MP, f/2.2, 1/4"", 1.12µm",Adreno 650,Qualcomm Snapdragon 870 5G (7 nm),Không,1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585,IPS LCD,N/A,N/A,N/A,Xiaomi Mi Pad 6,Không,N/A,USB Type-C,490 g,"4K@30fps, 1080p@30/60fps",N/A,N/A,11 inches,Wi-Fi 802.11 a/b/g/n/ac<br>Wi-Fi Direct<br> Wi-Fi hotspot<br>Dual-band<br>Wi-Fi 6,cellphones.com.vn,4,tablets,19,http://cellphones.com.vn/xiaomi-mi-pad-6-6gb-128gb.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/mi-pad-6-cps-doc-quyen.png_1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/mi-pad-6-cps-doc-quyen.png_1.jpg
29095,iPad 10.2 2021 WiFi 64GB | Chính hãng Apple Việt Nam,6990000.0,8990000.0,82,4.9,32.4 Wh (~ 8600 mAh),"v4.2, A2DP, EDR, LE",apple,"Camera góc rộng: 8MP, ƒ/2.4","12 MP, ƒ/2.4",Apple GPU 4 nhân,Apple A13 Bionic 6 nhân,Không,2 nhân 2.65 GHz & 4 nhân 1.8 GHz,IPS LCD,"GPS, A-GPS, GLONASS",N/A,"iPad, Cáp USB-C sang Lightning, Sạc USB-C 20W",iPad 10.2 2021 WiFi 64GB,Có,N/A,Lightning,487g,"1080p@25/30fps, 720p@120fps; gyro-EIS",N/A,N/A,10.2 inches,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",cellphones.com.vn,4,tablets,23,http://cellphones.com.vn/ipad-10-2-inch-2021.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/ipad-10-2-inch-2021_1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/ipad-10-2-inch-2021_1.png
82909,Xiaomi Redmi Pad Pro wifi 8GB 128GB,7090000.0,7990000.0,1,5,10.000 mAh ,v5.2,xiaomi,"Camera chinh: 8MP - 1/4"", f/2, 1.12μm","8MP - 1/4"", f/2.28, 1.12μm",Qualcomm® Adreno™ GPU,Snapdragon 7s Gen 2,N/A,"Octa-core core, xung nhịp 2.4GHz",IPS LCD,N/A,N/A,N/A,Masstel Fami 60 ,Có,N/A,USB Type-C,571g,1080p 1920x1080 30fps<br>- 720p 1280x720 30fps,N/A,N/A,12.1 inches,Wi-Fi 6,cellphones.com.vn,4,tablets,14,http://cellphones.com.vn/may-tinh-bang-xiaomi-redmi-pad-pro.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-xiaomi-poco-f6_23_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-xiaomi-poco-f6_23_.png
55190,iPad Gen 10 10.9 inch 2022 Wifi 256GB I Chính hãng Apple Việt Nam ,12390000.0,16990000.0,1,5,28.6 Wh (~ 7587 mAh),v5.2,apple,"Camera góc rộng: 12MP, ƒ/1.8<br>","Camera góc siêu rộng: 12MP, 122°, ƒ/2.4",4-core GPU,Apple A14 Bionic 6 nhân,Không,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,IPS LCD,"GPS, iBeacon",N/A,"iPad, Cáp sạc USB-C (1 mét), Sạc USB-C 20W",iPad 10.9 inch 2022 Wifi 64GB,Không,N/A,USB Type-C,477g,4K@24 fps/25 fps/30 fps/60 fps<br>1080p HD@25 fps/30 fps/60 fps<br>720p HDD@30 fps/60 fps,N/A,N/A,10.9 inches,"Dual-band, MIMO,Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",cellphones.com.vn,4,tablets,27,http://cellphones.com.vn/ipad-10-9-inch-2022-256gb.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/ipad-10-9-inch-2022_1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/ipad-10-9-inch-2022_1.png
86838,Máy Tính Bảng Huawei Matepad 11.5''S 8GB 256GB Xám,12990000.0,14490000.0,0,0,8800 mAh,"v5.2, BLE, AAC, LDAC",huawei,"13 MP, f/1.8, AF","8 MP, f/2.0, FF",Adreno™ 650,Kirin 9000WL,N/A,"Octa-core, 1 × Cortex-A77@3.2 GHz + 3 × Cortex-A77@2.42 GHz + 4 × Cortex-A55@1.8 GHz",TFT LCD (paper matte),N/A,N/A,Máy tính bảng (Tích hợp pin) x 1<br> Tặng kèm bàn phím theo máy <br>Cáp type-C × 1 <br>Hướng dẫn sử dụng × 1 <br>Thẻ bảo hành × 1,Máy Tính Bảng Huawei Matepad 2022 4GB 128GB,Không,N/A,USB Type-C,510 g,4160 × 3120 pixel<br>1920 × 1080 pixel,N/A,N/A,11.5 inches,"802.11a/b/g/n/ac/ax, 2 × 2 MIMO<br>2.4 GHz và 5 GHz",cellphones.com.vn,4,tablets,11,http://cellphones.com.vn/may-tinh-bang-huawei-matepad-11-5-s.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-tinh-bang-huawei-matepad-11-5-s_39_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-tinh-bang-huawei-matepad-11-5-s_39_.png
91088,Xiaomi Pad 6S Pro Wifi 8GB 256GB,13490000.0,14990000.0,2,5,10000 mAh ,v5.3,xiaomi,"Camera chính: 50MP, 1/2.76"" f/1.8, kích thước điểm ảnh 0.64μm 4-in-1<br>Camera phụ: 2MP, 1/5"" f/2.4, 1.75μm pixel size","32MP, f/2.2, kích thước điểm ảnh 0.61μm 4-in-1",N/A,Snapdragon® 8 Gen 2,Không,"8 nhân, tốc độ xung nhịp tối đa 3.19GHz",IPS LCD,N/A,N/A,N/A,iPhone 15 Pro,N/A,N/A,USB Type-C,590g,4K@60fps,N/A,N/A,12.4 inches,Wi-Fi 7,cellphones.com.vn,4,tablets,15,http://cellphones.com.vn/may-tinh-bang-xiaomi-pad-6s-pro.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-p55_96_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-p55_96_.png
81809,iPad Air 6 M2 11 inch Wifi 256GB | Chính hãng Apple Việt Nam,17590000.0,19490000.0,1,5,"Tích hợp pin sạc Li-Po 31,29 watt‑giờ",Bluetooth 5.3,apple,"Camera góc rộng 12MP, khẩu độ ƒ/1.8",Camera trước Ultra Wide 12MP trên cạnh ngang<br> Khẩu độ ƒ/2.4,GPU 10 lõi<br>Neural Engine 16 lõi,Apple M2,Không,CPU 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điện,Ultra Retina XDR,GPS/GNSS<br>Định vị vi mô iBeacon,5G,"iPad Air, Cáp Sạc USB‑C, Bộ Tiếp Hợp Nguồn USB-C 20W",iPad Air 6 M2,Không,1 eSIM,USB Type-C,462 gram,"Quay video 4K ở tốc độ 24 fps, 25 fps, 30 fps, hoặc 60 fps<br> Quay video HD 1080p ở tốc độ 25 fps, 30 fps, hoặc 60 fps<br> Quay video HD 720p ở tốc độ 30 fps<br> Hỗ trợ quay video chậm 1080p ở tốc độ 120 fps hoặc 240 fps<br> Video tua nhanh có chống rung",N/A,N/A,10.86 inches,Wi‑Fi 6E (802.11ax) với 2x2 MIMO4,cellphones.com.vn,4,tablets,10,http://cellphones.com.vn/ipad-air-6-m2-11-inch-256gb.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/ipad-air-6-m2-11-inch-256gb_9_.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/ipad-air-6-m2-11-inch-256gb_9_.jpg
69514,Samsung Galaxy Tab S9 FE Plus WIFI 8GB 128GB,10590000.0,13990000.0,5,5,"10,090 mAh",v5.3,samsung,8 MP + 8 MP (góc siêu rộng),12 MP (góc siêu rộng),N/A,Exynos 1380,Không,N/A,N/A,"GPS, Glonass, Beidou, Galileo, QZSS",N/A,"Bút cảm ứng, Cáp Type C - Type C, Hộp máy, Sách hướng dẫn",Xiaomi Redmi 13C 6GB 128GB ,Không,2 SIM (nano‑SIM và eSIM),USB Type-C,627 g,UHD 4K (3840 x 2160)@30fps,8GB - 12GB,128GB và 256GB,12.4 inches,802.11 a/b/g/n/ac/ax 2.4G+5GHz,cellphones.com.vn,4,tablets,25,http://cellphones.com.vn/samsung-galaxy-tab-s9-fe-plus-wifi.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-tab-s9-fe-plus-wifi_1_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-tab-s9-fe-plus-wifi_1_.png
84778,Máy Tính Bảng Lenovo Tab M9 4G 4GB 64GB ZAC50137VN ,3490000.0,4390000.0,1,5,5100 mAh ,v5.1,lenovo,8.0MP,2.0MP ,ARM Mali-G52 MC2 ,"MediaTek Helio G80 (8C, 2x A75 @2.0GHz + 6x A55 @1.8GHz)",N/A,N/A,IPS LCD,GPS + GLONASS + Galileo + A-GPS,4G,"Cáp,sạc,sách hdsd",Máy Tính Bảng Lenovo tab M10 Gen 3 (ZAAF0025VN),Có,Nano-SIM,USB Type-C,344 g ,N/A,N/A,N/A,9 inches,11ac 1x1 ,cellphones.com.vn,4,tablets,21,http://cellphones.com.vn/may-tinh-bang-lenovo-tab-m9-4gb-64gb.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-tinh-bang-lenovo-tab-m9-4gb-64gb_1_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-tinh-bang-lenovo-tab-m9-4gb-64gb_1_.png
