product_id,name,current_price,original_price,review_count,rating_average,battery,bluetooth,brand,camera_primary,camera_secondary,GPU,chip_set,NFC,CPU,display_type,GPS,internet,accessories,model,jack_3.5mm,sim_type,charging_port,weight,camera_video,RAM,ROM,screen_size,wifi,source,category,category_id,discount_rate,url,image_url,thumbnails
59258,iPhone 16 Pro Max 256GB | Chính hãng VN/A,32790000.0,34990000.0,60,4.9,N/A,Bluetooth 5.3,apple,"Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%<br>Telephoto 2x 12MP: 52 mm, ƒ/1.6<br> Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải ","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",GPU 6 lõi mới,Apple A18 Pro,Có,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,Super Retina XDR OLED,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",5G,"iPhone sử dụng iOS 18, Cáp Sạc USB‑C (1m), Tài liệu",Lenovo Tab Extreme,N/A,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,USB Type-C,227 gram,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps, 4K@100 fps, 4K@120 fps <br>1080p@25fps, 1080p@30 fps, 1080p@60 fps hoặc 1080p@120 fps<br> 720p@30 fps",8GB - 12GB,128GB và 256GB,6.9 inches,Wi‑Fi 7 (802.11be) với 2x2 MIMO7,cellphones.com.vn,3,mobiles,7,http://cellphones.com.vn/iphone-16-pro-max.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-max.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-max.png
85242,Xiaomi Redmi Note 14 6GB 128GB,4790000.0,4990000.0,6,4.8,5500mAh ,5.3,xiaomi,Hệ thống camera AI 108MP <br> Camera đo chiều sâu 2MP - f/2.4<br> Camera cận cảnh 2MP - f/2.4,Camera trước 20MP - f/2.2,Mali-G57 MC2,MediaTek Helio G99-Ultra,Có,"8 nhân, lên đến 2.2GHz",AMOLED,"QZSS, GPS, GLONASS, GALILEO, BEIDOU",4G,"Redmi Note 14, Cáp USB Type C, Củ sạc 33W, Dụng cụ lấy SIM, Sách hướng dẫn,...",Masstel Fami 60 ,Có,2 Nano-SIM,USB Type-C,196.5g,HD 720p@30fps  <br> FullHD 1080p@60fps<br>  FullHD 1080p@30fps,4GB - 6GB,128GB và 256GB,6.67 inches,"Wi-Fi hotspot,  Wi-Fi Direct,  Wi-Fi 802.11 a/b/g/n/ac",cellphones.com.vn,3,mobiles,4,http://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-xiaomi-redmi-note-14_2__2.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-xiaomi-redmi-note-14_2__2.png
82062,Xiaomi POCO M6 6GB 128GB - Chỉ có tại CellphoneS,3350000.0,4290000.0,11,5,5030 mAh,v5.4,xiaomi,"Camera chính: 108MP siêu rõ ống kính 6P, f/1,75<br>Camera macro: 2MP f/2,4","13MP, f/2,45",Mali-G52 MC2,Helio G91-Ultra,Có,Cortex-A75+Cortex-A55<br>Tần số tối đa của CPU: 2.0GHz,IPS LCD,GPS<br> Glonass<br>Galileo<br>Beidou,4G,Xiaomi POCO M6<br>Bộ đổi nguồn<br>Cáp USB Type-C<br>Dụng cụ tháo SIM<br>Ốp bảo vệ<br>Hướng dẫn sử dụng nhanh<br>Thẻ bảo hành<br>Thông tin an toàn,Vivo Y22S ,Có,2 SIM (Nano-SIM),USB Type-C,205 g,1080p@30fps<br>HD 720p@30 fps,4GB - 6GB,128GB và 256GB, 6.79 inches,Wi-Fi: 2.4GHz | 5GHz,cellphones.com.vn,3,mobiles,22,http://cellphones.com.vn/dien-thoai-xiaomi-poco-m6.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/o/poco-m6_1_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/o/poco-m6_1_.png
67378,Xiaomi Redmi Note 13 Pro Plus 5G 8GB 256GB,8490000.0,10990000.0,23,4.9,5000 mAh ,A2DP<br>LE<br>v5.2,xiaomi,"Chính 200 MP & Phụ 8 MP, 2 MP",16 MP,Mali-G610 MC4,Mediatek Dimensity 7200 Ultra (4 nm),Có,2x2.8 GHz Cortex-A715 & 6x2.0 GHz Cortex-A510,AMOLED,BEIDOU<br>QZSS<br>GPS<br>GLONASS<br>GALILEO,5G,"Máy, sạc, Cáp USB Type-C, Dụng cụ lấy SIM, Vỏ bảo vệ, Hướng dẫn sử dụng nhanh",iPhone 15 Pro,Không,2 SIM (Nano-SIM),USB Type-C,204.5 g ,HD 720p@30fps<br>FullHD 1080p@60fps<br>FullHD 1080p@30fps<br>4K 2160p@24fps<br>4K 2160p@30fps<br>FullHD 1080p@120fps,8GB - 12GB,128GB và 256GB,6.67 inches,Wi-Fi MIMO<br>Wi-Fi Direct<br>Wi-Fi 802.11 a/b/g/n/ac<br>Wi-Fi hotspot<br>Dual-band (2.4 GHz/5 GHz),cellphones.com.vn,3,mobiles,23,http://cellphones.com.vn/xiaomi-redmi-note-13-pro-plus.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-note-13-pro-plus_9_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-note-13-pro-plus_9_.png
66374,Xiaomi Redmi Note 13 6GB 128GB,3990000.0,4890000.0,28,4.9,5000 mAh,A2DP<br>LE<br>v5.1,xiaomi,"Chính 108 MP & Phụ 8 MP, 2 MP",16MP,Adreno 610,Snapdragon 685,Không,"CPU lõi tám, tốc độ lên tới 2,8 GHz",AMOLED,BEIDOU<br>GPS<br>GLONASS<br>GALILEO     ,4G,"Máy, sạc, Cáp USB Type-C, Dụng cụ lấy SIM, Vỏ bảo vệ, Hướng dẫn sử dụng nhanh",Masstel Fami 60 ,Có,2 SIM (Nano-SIM),USB Type-C,188.5 g, HD 720p@30fpsFullHD 1080p@30fps,4GB - 6GB,128GB và 256GB,6.67 inches,Wi-Fi Direct<br>Wi-Fi 802.11 a/b/g/n/ac<br>Wi-Fi hotspot<br>Dual-band (2.4 GHz/5 GHz),cellphones.com.vn,3,mobiles,19,http://cellphones.com.vn/xiaomi-redmi-note-13.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-note-13_1__1_1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-note-13_1__1_1.png
65919,Samsung Galaxy Z Fold6 12GB 256GB,33990000.0,43990000.0,17,4.9,4400 mAh,v5.3,samsung,"Camera góc rộng: 50.0 MP, f/1.8, Thu phóng quang học 2x <br> Camera chụp góc siêu rộng: 12.0 MP, f/2.2  <br> Camera ống kính tele: 10.0 MP, f/2.4, Thu phóng Quang học 3x","Camera bên ngoài:10 MP, f/2.2 <br>Camera bên trong: 4 MP, F1.8",N/A,Snapdragon 8 Gen 3 for Galaxy Tăng lên 42% AI,Có,"8 nhân 3.39 GHz, 3.1GHz, 2.9GHz, 2.2GHz",Dynamic AMOLED 2X,"GPS, Glonass, Beidou, Galileo, QZSS",5G,N/A,Masstel Fami 60 ,N/A,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,USB Type-C,239 g,"UHD 8K (7680 x 4320)@30fps<br> 240fps @FHD, 120fps @FHD, 120fps @UHD",8GB - 12GB,128GB và 256GB,7.6 inches,802.11a/b/g/n/ac/ax<br> 2.4GHz+5GHz+6GHz,cellphones.com.vn,3,mobiles,23,http://cellphones.com.vn/samsung-galaxy-z-fold-6.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-z-fold-6-xanh_5_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-z-fold-6-xanh_5_.png
93649,Samsung Galaxy A16 LTE 4GB 128GB,4790000.0,5090000.0,0,0,"5,000mAh",5.3,samsung,"Camera góc rộng: 50MP<br>Camera góc siêu rộng: 5MP<br> Camera Macro: 2MP <br> Khẩu độ (Đa khẩu độ): F1.8 , F2.2 , F2.4",13MP,Mali-G57,MediaTek Helio G99,Có,"2.2GHz,2.0GHz Octa-Core",Super AMOLED,"GPS, Glonass , Beidou , Galileo",4G,"Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C",Samsung ,Không,2 Nano-SIM,USB Type-C,192 gr,FHD (1920 x 1080)@30fps,4GB - 6GB,128GB và 256GB,6.7 inches,"802.11a/b/g/n/ac 2.4GHz+5GHz, VHT80 Wi-Fi Direct",cellphones.com.vn,3,mobiles,10,http://cellphones.com.vn/dien-thoai-samsung-galaxy-a16-lte.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-a16-lte_3_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-a16-lte_3_.png
67006,iPhone 15 Plus 128GB | Chính hãng VN/A,22590000.0,25990000.0,22,5,4383 mAh,v5.3,apple,Chính 48 MP & Phụ 12 MP,"12MP, ƒ/1.9",GPU 5 lõi,Apple A16 Bionic,Có,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Super Retina XDR OLED,"GPS, GLONASS, Galileo, QZSS, and BeiDou",5G,"Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C",iPhone 15 Pro,Không,2 SIM (nano‑SIM và eSIM),USB Type-C,201 g,4K@24/25/30/60 fps<br>HD 1080p@25/30/60 fps<br>HD 720p@30 fps,4GB - 6GB,128GB và 256GB,6.7 inches,Wi‑Fi 6 (802.11ax),cellphones.com.vn,3,mobiles,14,http://cellphones.com.vn/iphone-15-plus.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-15-plus_1_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-15-plus_1_.png
53193,Samsung Galaxy A55 5G 8GB 128GB,8790000.0,9990000.0,17,5,5000 mAh,v5.3,samsung,Camera chính: 50 MP OIS+HDR <br> Camera góc rộng: 12MP <br>Camera macro: 5MP,32 MP,AMD Titan 1WGP,Exynos 1480 4nm 2.4GHz,Có,4 nhân 2.7 GHz & 4 nhân 2.0 GHz,Super AMOLED,"GPS, Glonass, Beidou, Galileo, QZSS",5G,"Máy, cáp sạc Type-C, Que chọc SIM, Hướng dẫn nhanh",OPPO A17K ,Không,2 SIM (Nano-SIM),USB Type-C,213g,UHD 4K (3840 x 2160)@30fps<br> Quay chậm 240fps @HD,8GB - 12GB,128GB và 256GB,6.6 inches,"802.11 a/b/g/n/ac/ax 2.4GHz+5GHz, WiFi Direct ",cellphones.com.vn,3,mobiles,12,http://cellphones.com.vn/samsung-galaxy-a55.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/m/sm-a556_galaxy_a55_awesome_lilac_ui.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/m/sm-a556_galaxy_a55_awesome_lilac_ui.png
74613,Samsung Galaxy S24 FE 5G 8GB 128GB,13990000.0,16990000.0,3,4.7,4700 mAh,v5.3,samsung,50MP + 12vMP + 8MP,10MP,N/A,Exynos 2400e (4nm),Có,"10 nhân 3.1GHz, 2.9GHz, 2.6GHz, 1.95GHz",Dynamic AMOLED,"GPS, Glonass, Beidou, Galileo, NavIC, QZSS",5G,Điện thoại thông minh<br> Cáp truyền dữ liệu<br> Que lấy sim,iPhone 15 Pro,Không,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,USB Type-C,213 g,"UHD 8K (7680 x 4320)@30fps<br>240fps @FHD, 120fps @FHD, 120fps @UHD",8G,128GB và 256GB,6.7 inches,"802.11a/b/g/n/ac/ax 2.4GHz+5GHz+6GHz, HE160, MIMO, 1024-QAM",cellphones.com.vn,3,mobiles,18,http://cellphones.com.vn/dien-thoai-samsung-galaxy-s24-fe.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-s24-fe_3__4.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-s24-fe_3__4.png
